,Gender,Year,C,C-,D+,D,D-,E
6,MALE,2006,2984,3299,3418,3291,2635,834
7,FEMALE,2006,2554,3193,3519,3513,2909,897
8,ALL,2006,5538,6492,6937,6804,5544,1731
9,MALE,2007,3314,3609,3721,3493,2762,779
10,FEMALE,2007,2865,3439,3817,3730,2924,790
11,ALL,2007,6179,7048,7538,7223,5686,1569
12,MALE,2008,3463,3824,3981,3942,3400,1379
13,FEMALE,2008,2946,3618,4043,4150,3593,1376
14,ALL,2008,6409,7442,8024,8092,6993,2755
15,MALE,2009,3824,4247,4402,4336,3606,1257
16,FEMALE,2009,3216,3996,4447,4514,3897,1326
17,ALL,2009,7040,8243,8849,8850,7503,2583
18,MALE,2010,4168,4536,4704,4561,3776,1306
19,FEMALE,2010,3637,4389,4734,4769,4012,1304
20,ALL,2010,7805,8925,9438,9330,7788,2610
3,MALE,2015,33437,37482,40181,40442,25531,3127
4,FEMALE,2015,31476,36633,38976,39113,23127,2223
5,ALL,2015,64913,74115,79157,79555,48658,5350
1,MALE,2016,21832,30047,39319,54648,72211,15322
0,FEMALE,2016,22960,30979,41632,57487,77718,18007
2,ALL,2016,44792,61026,80951,112135,149929,33399
